JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, JetPt3, JetEta3, JetPhi3, JetMass3, JetBTagger3, JetPt4, JetEta4, JetPhi4, JetMass4, JetBTagger4, JetPt5, JetEta5, JetPhi5, JetMass5, JetBTagger5, JetPt6, JetEta6, JetPhi6, JetMass6, JetBTagger6, ZZPt, ZZPhi, ZZEta, ZZMass, weight
242.12 ,-1.04419 ,-2.86288 ,24.9618 ,0.0618875 ,181.814 ,-1.24388 ,0.12665 ,24.4352 ,0.96465 ,47.0341 ,-1.92176 ,2.20641 ,9.22323 ,0.828711 ,35.3808 ,-1.28856 ,0.673072 ,6.10459 ,0.022271 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,82.4477 ,-0.910349 ,-0.665737 ,124.578 ,3.34458e-05
247.644 ,-0.672753 ,-2.21006 ,37.5037 ,0.0199963 ,77.5968 ,-0.487644 ,0.858288 ,12.7822 ,0.798943 ,45.9942 ,0.198191 ,-0.579524 ,6.26797 ,0.0553123 ,43.0122 ,1.63742 ,2.20978 ,8.88515 ,0.769325 ,36.9286 ,4.13472 ,-1.77463 ,6.74541 ,-2 ,-999 ,-999 ,-999 ,-999 ,-999 ,134.63 ,0.167834 ,0.213628 ,122.044 ,6.54484e-05
92.71 ,1.81067 ,2.96203 ,12.9701 ,0.983187 ,72.7501 ,-1.50293 ,-0.997293 ,12.3444 ,0.796053 ,49.2336 ,2.63564 ,-2.30225 ,12.0868 ,0.0383529 ,34.9476 ,0.602464 ,0.362882 ,4.58768 ,0.195036 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,35.8265 ,0.352972 ,0.909918 ,124.255 ,3.27332e-05
260.231 ,0.410658 ,0.453754 ,28.5139 ,0.0442915 ,161.977 ,-1.04065 ,-2.83855 ,20.7225 ,0.136474 ,99.5219 ,0.271883 ,-3.09973 ,17.2621 ,0.970573 ,57.1521 ,2.16758 ,-1.41702 ,11.3278 ,0.223048 ,54.6846 ,1.75292 ,1.11935 ,10.7868 ,0.0230849 ,-999 ,-999 ,-999 ,-999 ,-999 ,45.6502 ,0.894594 ,1.079 ,124.07 ,6.84065e-05
58.5807 ,-0.719367 ,2.63018 ,7.7631 ,0.32648 ,44.4237 ,-0.437839 ,1.1596 ,7.57976 ,0.026058 ,38.9493 ,-1.68017 ,1.89491 ,9.56986 ,0.0275168 ,30.9088 ,1.1375 ,-0.859731 ,5.82147 ,0.998561 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,119.192 ,-0.151239 ,0.719886 ,126.661 ,8.39976e-05
181.837 ,0.105962 ,-2.68467 ,15.2143 ,0.982731 ,172.768 ,0.319125 ,-0.338661 ,17.8805 ,0.0202585 ,105.442 ,2.70295 ,-3.00219 ,17.7161 ,0.0332875 ,88.215 ,0.578914 ,-2.01506 ,13.5302 ,0.0153429 ,53.6272 ,2.20745 ,-2.51356 ,12.1024 ,0.0351934 ,-999 ,-999 ,-999 ,-999 ,-999 ,382.096 ,1.29281 ,0.100952 ,123.502 ,6.41557e-05
67.8414 ,0.211668 ,-1.04427 ,8.38773 ,0.0256352 ,65.3693 ,0.835163 ,-0.292241 ,8.98462 ,0.999103 ,55.395 ,-0.0220919 ,2.36089 ,10.2004 ,0.171761 ,40.3819 ,0.971579 ,0.41357 ,5.75118 ,-2 ,36.273 ,2.0963 ,-1.71744 ,9.33677 ,0.14229 ,31.0364 ,1.44835 ,-1.6601 ,5.56119 ,0.0494898 ,184.007 ,2.62551 ,0.942681 ,124.719 ,7.95726e-05
123.536 ,0.957856 ,2.10532 ,17.074 ,0.0102834 ,97.7432 ,-3.52915 ,-1.13691 ,17.8447 ,-2 ,71.096 ,0.0579162 ,-2.68021 ,13.462 ,0.998163 ,67.8146 ,-2.13277 ,0.511063 ,12.2511 ,0.930436 ,62.7756 ,-0.38073 ,-0.273549 ,12.0946 ,0.576046 ,46.2139 ,2.20945 ,-0.388262 ,9.13661 ,0.0206176 ,42.569 ,2.69028 ,-1.98738 ,128.506 ,5.66286e-05
206.11 ,0.807981 ,3.01639 ,22.1855 ,0.0122489 ,183.909 ,-1.23095 ,0.761154 ,22.6008 ,0.0190016 ,39.6511 ,-1.17809 ,-2.66414 ,8.06447 ,0.970215 ,35.1158 ,0.969237 ,1.88897 ,6.52966 ,0.998294 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,214.359 ,-0.866376 ,-1.14414 ,123.912 ,6.24694e-05
168.695 ,0.119157 ,-0.950908 ,12.9002 ,0.00986791 ,152.639 ,-0.0283893 ,-0.285398 ,10.6361 ,0.809206 ,124.244 ,1.62251 ,3.07112 ,14.6724 ,0.0332619 ,51.4779 ,-4.11533 ,1.45453 ,9.87139 ,-2 ,48.6666 ,1.73612 ,-2.08367 ,8.58235 ,0.0436265 ,-999 ,-999 ,-999 ,-999 ,-999 ,212.146 ,2.45245 ,1.33073 ,120.573 ,6.40701e-05
