LepPt[0],LepPt[1],LepPt[2],LepPt[3],LepPhi[0],LepPhi[1],LepPhi[2],LepPhi[3],LepEta[0],LepEta[1],LepEta[2],LepEta[3],JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, ExtraLepPt1, ExtraLepPhi1, ExtraLepEta1, weight
17.4938,34.6357,11.7805,33.141,0.882866,-2.45333,-2.03601,3.1183,-1.39869,1.08256,-0.141321,1.05588,113.973,0.74591,-0.450745,15.2025,0.976923,-999,-999,-999,-999,-999,40.6388,-1.91004,-0.132965,5.02721e-05
79.9208,29.4232,40.6252,24.2318,-1.8458,0.248524,-1.9484,-0.78488,0.348379,0.77591,0.33491,0.730988,396.161,1.02169,2.37091,35.1001,0.294767,76.1451,0.197004,2.31477,15.1044,0.559021,236.863,-0.504219,-0.526106,5.48463e-05
31.1738,39.8605,14.2146,37.9676,-0.260621,2.27097,1.89291,-2.22342,0.458671,0.999926,0.979023,0.574861,193.243,1.56216,-1.02993,20.8797,0.0174485,87.1887,1.26018,2.80407,9.63161,0.846898,140.349,1.94216,0.587716,6.1067e-05
53.3028,47.3189,40.8322,7.17355,2.32751,-3.01047,1.83664,2.98656,-0.319261,-0.330046,0.886486,-0.72571,67.642,-0.739791,0.975717,13.4982,0.514855,37.0605,-0.0160672,0.219858,6.22037,0.0282908,34.4527,-2.14417,0.0557854,4.51417e-05
86.1325,59.8564,15.7594,17.9254,-2.02903,-1.1619,3.10181,-2.0166,-0.125665,-0.652901,-0.434811,-1.42453,229.798,-1.22027,1.13773,39.2002,0.195438,31.0354,-0.697975,0.494974,7.64529,0.917145,10.9583,-0.251099,-2.28433,7.25631e-05
59.4539,24.2728,24.5063,15.0195,0.0227014,3.13665,-1.53508,0.554045,-0.28906,0.312084,-0.585917,-0.460806,121.137,0.822536,1.33231,14.2325,0.0968559,80.5515,1.41776,-2.32642,11.0527,0.0254373,55.5874,-1.76847,-0.361091,5.11785e-05
188.179,239.239,36.2694,39.2211,-2.99124,-3.00944,2.81129,-2.71046,-0.39897,-0.80903,-0.701925,-0.806639,310.587,0.198069,-0.54562,37.3071,0.995047,153.138,-0.211467,-0.773745,13.2736,0.034015,44.7228,1.08175,-0.679189,8.26729e-06
216.194,64.0697,88.3189,84.8951,-0.321562,-0.0572791,-0.320316,-0.310783,-1.00116,-1.71462,-1.13867,-1.34889,423.874,-1.57547,1.59753,77.4485,0.108088,343.963,-0.63579,-2.01593,33.3014,0.932222,8.2692,-2.6691,0.463816,5.5363e-05
17.313,23.9988,43.2183,9.02038,-2.22645,1.06014,0.977655,-1.1736,0.519838,0.254083,-0.22989,0.1032,58.8523,-0.828693,-2.22592,6.72676,0.968173,38.2675,-2.98406,-2.14272,7.00071,0.120891,24.4964,-2.63346,0.0292819,5.60457e-05
14.5462,150.281,73.2196,79.7387,-2.4172,-1.43921,-1.68075,-1.51455,-2.0379,-0.701931,-0.621126,-0.744146,207.633,-0.43626,1.24625,18.4628,0.783068,150.035,0.310153,1.40849,16.0575,0.0572809,21.4416,0.37244,0.904124,5.62499e-05
