JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, JetPt3, JetEta3, JetPhi3, JetMass3, JetBTagger3, JetPt4, JetEta4, JetPhi4, JetMass4, JetBTagger4, ZZPt, ZZPhi, ZZEta, ZZMass, weight
130.416,0.690699,1.68034,22.1334,0.463966,54.4605,-0.230117,-0.413267,10.761,0.0305701,37.4459,0.194661,2.14963,6.31808,0.083712,30.9341,2.22903,2.72211,6.39156,0.0724493,79.3715,-0.115495,1.48368,138.173,3.13399e-05
108.506,-1.68692,-2.56286,14.9072,0.862518,95.4145,-1.92459,0.0799119,13.8901,0.998789,76.5617,-3.12831,2.898,11.6799,-2,65.5527,-0.317708,-0.508847,8.98493,0.00883467,93.4269,1.28036,-0.941416,123.717,6.0454e-05
127.47,-2.36936,0.835872,17.7245,0.0124936,64.3391,-1.36987,0.248586,10.2284,0.87433,44.4108,4.10456,2.70609,9.05712,-2,35.1965,-2.34549,2.03676,7.98095,0.130194,88.0268,-2.49751,1.37131,118.818,4.46801e-05
201.401,1.46407,-2.77665,21.4335,0.0122024,181.209,2.29886,-2.99183,25.3392,0.676037,105.73,0.921662,1.9227,15.2886,0.683794,82.1076,0.340825,1.19279,10.9117,0.00921561,303.333,-0.0652396,1.5822,107.677,4.22564e-05
78.6793,-1.04976,0.167738,8.89655,0.990482,75.748,-0.526582,-1.42945,8.63158,0.013561,49.3299,-1.84573,-0.786091,9.74192,0.848855,47.993,-0.647233,-2.85504,10.531,0.859692,65.8943,1.57078,-1.48824,136.258,4.48511e-05
180.988,-0.263146,-1.33448,21.1354,0.0344521,101.377,-0.248505,1.57672,14.9704,0.0263726,66.5112,0.471764,-0.935236,11.3059,0.263727,36.4685,-0.0644706,-1.89262,6.89378,0.65796,114.275,1.85587,1.72709,126.039,6.33522e-05
219.171,0.909269,-0.506787,42.1345,0.0239967,125.828,1.02375,-3.13217,14.7387,0.102374,105.264,1.44242,-0.60758,9.69864,0.0450404,93.2412,0.110196,-2.41653,13.5161,0.876779,234.406,1.73811,-0.150624,123.766,4.63927e-05
441.461,-1.11856,2.00988,72.2716,0.0903656,209.515,-0.219899,-1.3891,19.8259,0.0187739,120.907,-0.214028,-0.896382,6.72642,0.0116954,116.602,0.480127,-1.10696,12.7663,0.978105,97.8394,-0.607458,-1.40929,126.388,7.28823e-05
103.105,0.641372,-0.479308,10.9883,0.997508,80.5141,0.964422,-3.00587,9.48621,0.0225765,76.8955,2.85334,3.0519,5.9699,-2,45.3147,2.43289,-0.393349,7.73593,0.0372482,45.7204,1.12407,1.54011,121.979,5.91611e-05
88.5883,0.563652,2.94916,10.038,0.0105772,87.9864,0.194223,2.19596,12.2655,0.0120563,73.8675,0.997905,-1.57832,8.87628,0.832973,60.9273,1.49643,2.40448,9.51782,0.145857,149.858,-0.594683,0.232082,122.882,4.80624e-05
159.271,1.9462,-1.78749,25.3378,0.981967,153.604,1.5968,1.78457,22.3848,0.018837,71.8455,3.30417,-0.609223,11.1449,-2,48.5606,0.388619,2.71748,10.3277,0.150184,68.1992,-0.429032,1.68795,126.254,2.84981e-05
104.624,1.34491,2.83593,17.5298,0.853122,51.5129,-0.600014,2.37182,9.15694,0.0374437,46.063,2.09331,2.59898,8.74827,0.0869582,40.4799,0.747671,-1.83485,9.5901,0.811915,88.3314,-0.568981,1.89448,123.638,4.93172e-05
81.5456,1.5422,-1.54354,9.88769,0.0933846,61.0748,0.134039,-1.97499,10.9264,0.631397,52.4111,0.539578,-0.288825,10.9561,0.999493,41.6458,-1.19153,2.30953,5.59402,0.0161116,93.7249,1.07509,1.32856,120.914,7.25815e-05
73.4934,1.66084,-1.53369,9.25386,0.0985432,66.0129,2.74013,1.9103,13.1604,0.176422,62.953,2.18412,-3.07092,11.1201,0.183415,61.2596,1.87925,0.440187,13.1246,0.584817,38.9916,-2.41015,2.34099,128.621,5.3837e-05
105.435,1.64782,-1.73459,20.0868,0.801938,50.359,-0.725194,-2.04519,10.9411,0.992185,45.1724,-0.242994,1.60829,5.66654,0.0225555,38.9396,0.745723,-3.08341,5.55788,0.00954485,414.664,1.74026,0.254032,124.782,5.1207e-05
76.3345,1.34114,2.75403,13.8133,0.641227,63.29,0.707041,-2.3313,6.07102,0.0332118,57.0534,1.44227,1.82893,10.22,0.0641268,39.4024,-0.339296,2.94051,4.37736,0.712687,148.713,-0.233561,2.08822,125.861,2.33495e-05
412.351,0.126301,-2.48305,81.9718,0.0407826,297.036,-0.10305,0.542719,30.3154,0.120662,50.1447,1.18822,1.23932,11.5374,0.0369002,38.6077,-0.797047,-2.87077,7.9651,0.646519,20.9346,1.38282,3.4291,120.273,3.79012e-05
118.932,0.930376,2.98863,14.9003,0.0166941,73.214,2.53364,2.15904,10.2812,0.0535457,73.017,-0.747372,-0.764331,9.66715,0.823554,72.1924,-0.131412,2.90523,10.6604,0.296316,164.296,-0.0620155,0.0259029,123.648,5.3509e-05
132.369,0.0695534,0.533125,27.9128,0.0319863,103.475,-0.544683,-0.0369771,17.931,0.0497837,92.4697,-0.481914,2.17687,13.2367,0.903158,88.5428,0.171926,-0.207889,6.54354,0.0074405,203.209,-2.97059,-0.364368,122.502,5.88376e-05
79.9124,-1.66714,-2.69875,13.7807,0.921226,76.5769,-1.35978,2.1278,8.25624,0.0203543,64.4457,-0.107595,-1.55102,10.7667,0.995764,32.915,-2.39608,-0.888194,5.37108,0.0310092,40.8938,1.93354,-0.277899,123.448,5.42963e-05
205.156,-1.51823,-0.882219,25.5096,0.0624561,198.218,-0.872977,1.71277,18.6928,0.0399288,184.795,-1.13332,-1.09408,13.3752,0.0096721,133.123,-0.326993,2.37736,15.4967,0.953628,62.8006,2.69425,-2.22638,124.621,5.05542e-05
99.9081,-0.265394,2.76989,15.0666,0.0232709,96.6238,-0.685465,1.98906,15.6818,0.144335,39.6633,-0.540618,1.21918,9.28616,0.0286736,35.4075,1.29212,-1.47493,7.3281,0.959868,103.339,-1.65797,-1.73177,122.765,3.45294e-05
142.079,-1.44516,2.73357,17.0007,0.761777,120.435,-1.89382,-0.915578,15.5151,0.0879421,120.047,-0.884827,2.3407,14.4908,0.946404,56.2823,-2.37898,-3.11585,9.37156,0.0117492,88.7315,2.49507,-1.74286,123.299,4.68325e-05
