LepPt[0],LepPt[1],LepPt[2],LepPt[3],LepPhi[0],LepPhi[1],LepPhi[2],LepPhi[3],LepEta[0],LepEta[1],LepEta[2],LepEta[3],JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, ExtraLepPt1, ExtraLepPhi1, ExtraLepEta1, weight
89.1745,69.1575,24.5734,57.6609,-3.13274,-3.07497,2.6426,2.86567,-0.0882165,1.03154,-0.0601484,0.416404,147.209 ,-0.743728 ,-0.365548 ,14.7933 ,0.984888 ,75.4609 ,-1.68812 ,-1.29342 ,10.8551 ,0.0288834 ,13.1556 ,-2.56212 ,1.46561 ,5.95365e-05
151.835,75.6754,68.298,38.5897,-3.06675,-2.4977,-2.55309,2.85061,-0.480268,-0.171824,-0.790496,-0.601407,153.125 ,-2.82442 ,-1.21406 ,11.5184 ,-2 ,37.5666 ,0.515664 ,0.396356 ,6.79244 ,0.881195 ,80.0599 ,0.769542 ,0.1026 ,8.11464e-05
59.3949,71.9527,8.01737,37.9827,1.79686,2.69738,0.0470852,2.46079,0.400285,1.1927,0.121578,0.880657,184.317 ,-0.013298 ,-1.48643 ,19.4943 ,0.879673 ,92.6674 ,-1.09702 ,1.12615 ,11.845 ,0.0236673 ,55.0239 ,1.83226 ,1.37177 ,6.41654e-05
51.0783,107.647,38.8073,19.3355,-1.88122,3.00524,-3.02363,2.7091,0.553283,0.709688,0.304384,0.478196,96.7458 ,1.32133 ,-1.70959 ,16.4343 ,0.981683 ,70.365 ,-1.85996 ,0.716046 ,13.2285 ,0.0608445 ,21.0676 ,0.0305758 ,-0.416949 ,6.34388e-05
134.333,74.5158,37.2978,9.22618,-2.88959,-2.01883,-2.88066,2.71731,0.7444,0.458531,1.17959,1.57572,121.197 ,1.22885 ,-0.108151 ,15.3412 ,0.969116 ,38.822 ,0.0104836 ,2.1563 ,7.0519 ,0.0415751 ,57.5349 ,1.23962 ,1.84462 ,6.19011e-05
59.2911,46.7764,8.62526,45.3913,-0.432038,1.25316,-3.08629,-0.00464773,-0.391443,0.20593,-0.047186,-0.0686695,45.4051 ,-1.57903 ,1.30006 ,8.37102 ,0.633214 ,35.0279 ,-1.78089 ,-0.49734 ,6.73443 ,0.0868322 ,39.2286 ,-3.0819 ,-1.39149 ,6.05656e-05
42.253,103.506,23.1401,45.4126,-2.41855,2.34991,2.45585,2.46718,0.783541,0.851174,1.2378,0.497199,196.759 ,0.442202 ,-2.75868e-05 ,22.9113 ,0.0195414 ,75.223 ,0.338278 ,-1.03083 ,10.0086 ,0.98286 ,42.4652 ,-1.91883 ,1.54254 ,6.66853e-05
176.964,75.7424,14.5452,98.9024,0.434919,0.0951869,0.864884,0.471861,-0.227754,0.464775,-0.522108,0.117449,114.679 ,-1.33797 ,2.725 ,18.697 ,0.175352 ,102.374 ,0.0591498 ,-2.33187 ,13.2802 ,0.892436 ,46.6492 ,-2.27843 ,1.2109 ,8.39088e-05
12.4836,163.181,24.4044,53.2294,2.20388,-0.561481,0.0774601,-0.264411,0.47567,0.940368,0.739181,1.22961,162.603 ,-1.05297 ,1.7664 ,18.2223 ,0.998887 ,66.03 ,1.61344 ,-2.92943 ,13.0262 ,0.546802 ,138.248 ,-2.27556 ,0.581903 ,6.65905e-05
233.848,34.7764,24.4092,52.0611,-1.27694,-0.25082,-0.689849,-0.893652,0.365734,0.357913,0.888364,0.421575,185.88 ,-0.983813 ,2.92166 ,18.4334 ,0.146887 ,170.981 ,-0.0195942 ,0.956752 ,14.0584 ,0.986543 ,68.4474 ,-0.342996 ,-0.155706 ,6.13716e-05
50.5897,81.5753,31.3122,32.8295,2.16605,2.42445,2.12213,2.00655,0.934382,1.89534,1.73729,2.36137,121.749 ,2.02613 ,-0.399486 ,19.6329 ,0.987896 ,62.6697 ,1.58557 ,-2.29179 ,9.21691 ,0.0271667 ,144.567 ,-0.720482 ,1.09935 ,5.79136e-05
58.4166,18.2438,35.6298,27.1979,-0.0759681,-2.27123,-0.556789,0.307885,0.499482,0.0833489,1.4605,1.15722,115.19 ,0.465859 ,2.41828 ,12.7068 ,0.357408 ,100.874 ,2.11825 ,-1.94131 ,8.94627 ,0.296495 ,36.5269 ,-1.27001 ,1.98057 ,5.25731e-05
129.604,109.134,33.3231,24.5988,-2.64586,3.13605,-3.13009,-2.41073,1.47962,2.06488,2.25414,2.21781,88.6528 ,0.971971 ,-0.106908 ,13.9288 ,0.464768 ,37.3791 ,0.774885 ,0.647696 ,7.56542 ,0.0510903 ,16.5642 ,1.92229 ,0.475812 ,5.80551e-05
75.7689,237.139,51.2419,28.3937,0.830272,0.7459,0.722817,1.29883,-0.761245,-1.40973,-1.53114,-1.34015,107.176 ,-1.45764 ,2.60582 ,11.1371 ,0.0144368 ,56.6095 ,-1.92796 ,-2.84333 ,13.803 ,0.0292088 ,55.2696 ,-2.57174 ,-1.09814 ,8.45556e-05
47.3697,122.235,120.331,7.06203,-0.672808,-1.94967,-1.72167,-1.27951,-0.545448,-0.559349,-0.411474,-0.306528,288.578 ,-0.517215 ,2.16319 ,21.1653 ,0.489061 ,190.402 ,-1.15874 ,-0.00118407 ,18.9315 ,0.448896 ,54.6872 ,0.781251 ,-0.901337 ,5.69771e-05
39.554,100.389,21.0274,31.2353,-2.03269,-1.32867,-1.26941,-2.3546,0.716262,-0.521058,-0.246761,-0.418654,146.956 ,2.42949 ,-2.85428 ,16.4064 ,0.0571077 ,116.636 ,-0.958818 ,-2.52962 ,10.9664 ,0.447977 ,122.394 ,0.823974 ,-0.337121 ,8.57435e-05
92.4719,97.9937,56.097,40.235,-0.760107,-0.128528,-0.306619,0.0945037,0.30329,-0.166616,-0.0824975,0.354509,174.841 ,1.12345 ,-1.85561 ,21.1788 ,0.0217932 ,103.297 ,-2.68292 ,0.40386 ,14.4793 ,0.188721 ,77.7697 ,1.40726 ,-1.14153 ,8.28384e-05
66.3657,30.5533,10.83,10.0498,1.5487,-1.97061,0.574365,-0.944618,-0.655886,-0.599111,0.383223,-0.0589001,193.443 ,2.01553 ,2.27753 ,18.3569 ,0.0335799 ,175.703 ,2.40049 ,-0.936826 ,22.2573 ,0.101175 ,10.4844 ,2.21979 ,-0.213894 ,6.14367e-05
272.847,195.415,14.0936,11.3155,3.04942,2.80153,-2.99865,2.23869,-0.146747,0.151218,0.564634,0.503663,170.446 ,-0.551022 ,-0.0786172 ,15.9325 ,0.885725 ,143.167 ,-0.664406 ,-0.797218 ,17.6075 ,0.19866 ,62.3798 ,0.915666 ,-0.560148 ,3.46418e-05
20.1896,44.2872,31.1352,9.91239,-0.142273,-0.849936,-0.0931333,-1.29702,1.43955,-0.673699,-0.438654,-1.29028,86.8205 ,-1.64887 ,2.17778 ,11.5817 ,0.984517 ,72.482 ,-1.29407 ,-2.26875 ,7.21805 ,0.0161711 ,56.3232 ,-0.495537 ,-0.728803 ,7.55414e-05
32.8884,38.4835,31.5638,18.0319,1.0428,-1.01908,-1.75574,-1.63194,1.17068,0.519737,0.193301,1.73391,101.745 ,-0.132947 ,0.129769 ,14.4326 ,0.0124245 ,63.018 ,-1.22981 ,-2.5492 ,13.0767 ,0.986432 ,55.7818 ,-0.470473 ,-0.245858 ,3.8475e-05
28.453,50.4477,41.4293,30.9867,-2.22773,1.50569,2.85946,1.9616,-1.31031,-1.5921,-1.87376,-1.92617,74.8055 ,-2.00299 ,-0.332261 ,11.8864 ,0.955147 ,63.5726 ,-2.51671 ,-2.94623 ,8.48678 ,0.183245 ,12.7 ,-0.873322 ,-0.631866 ,4.61801e-05
